period,group,name,value
2016-09-30,investor_type,Other international,1201.658
2016-09-30,investor_type,Total,265427.8805
2016-12-31,investor_type,Reserve Bank of Australia,NA
2016-12-31,investor_type,Interbank,81228.661
2016-12-31,investor_type,Bank balance sheet,24054.478
2016-12-31,investor_type,Other domestic,59314.84
2016-12-31,investor_type,Japan,13825.879
2016-12-31,investor_type,Asia (ex Japan),33287.707
2016-12-31,investor_type,UK,18113.773
2016-12-31,investor_type,Europe,26028.271
2016-12-31,investor_type,Americas,19574.859
2016-12-31,investor_type,Other international,2126.089
2016-12-31,investor_type,Total,277554.557
2017-03-31,investor_type,Reserve Bank of Australia,NA
2017-03-31,investor_type,Interbank,75542.6425
2017-03-31,investor_type,Bank balance sheet,33501.111
2017-03-31,investor_type,Other domestic,56745.224
2017-03-31,investor_type,Japan,11397.135
2017-03-31,investor_type,Asia (ex Japan),41616.834
2017-03-31,investor_type,UK,17441.498
2017-03-31,investor_type,Europe,34710.515
2017-03-31,investor_type,Americas,13891.066
2017-03-31,investor_type,Other international,2218.48
2017-03-31,investor_type,Total,287064.5055
2017-06-30,investor_type,Reserve Bank of Australia,NA
2017-06-30,investor_type,Interbank,70165.465
2017-06-30,investor_type,Bank balance sheet,18726.476
2017-06-30,investor_type,Other domestic,48883.98
2017-06-30,investor_type,Japan,17083.801
2017-06-30,investor_type,Asia (ex Japan),34937.13
2017-06-30,investor_type,UK,15164.467
2017-06-30,investor_type,Europe,29781.98
2017-06-30,investor_type,Americas,14424.022
2017-06-30,investor_type,Other international,1598.416
2017-06-30,investor_type,Total,250765.737
2017-09-30,investor_type,Reserve Bank of Australia,NA
2017-09-30,investor_type,Interbank,88750.386
2017-09-30,investor_type,Bank balance sheet,35389.1
2017-09-30,investor_type,Other domestic,50948.002
2017-09-30,investor_type,Japan,13960.21
2017-09-30,investor_type,Asia (ex Japan),43952.647
2017-09-30,investor_type,UK,22642.511
2017-09-30,investor_type,Europe,36285.55
2017-09-30,investor_type,Americas,15487.106
2017-09-30,investor_type,Other international,1509.755
2017-09-30,investor_type,Total,308925.267
2017-12-31,investor_type,Reserve Bank of Australia,NA
2017-12-31,investor_type,Interbank,71135.416
2017-12-31,investor_type,Bank balance sheet,15338.667
2017-12-31,investor_type,Other domestic,45449.806
2017-12-31,investor_type,Japan,15148.461
2017-12-31,investor_type,Asia (ex Japan),28672.802
2017-12-31,investor_type,UK,20853.802
2017-12-31,investor_type,Europe,35962.255
2017-12-31,investor_type,Americas,17226.523
2017-12-31,investor_type,Other international,1997.295
2017-12-31,investor_type,Total,251785.027
2018-03-31,investor_type,Reserve Bank of Australia,NA
2018-03-31,investor_type,Interbank,101093.552
2018-03-31,investor_type,Bank balance sheet,39440.521
2018-03-31,investor_type,Other domestic,59328.745
2018-03-31,investor_type,Japan,15181.314
2018-03-31,investor_type,Asia (ex Japan),42897.889
2018-03-31,investor_type,UK,31616.296
2018-03-31,investor_type,Europe,45942.807
2018-03-31,investor_type,Americas,37715.758
2018-03-31,investor_type,Other international,4296.251
2018-03-31,investor_type,Total,377513.133
2018-06-30,investor_type,Reserve Bank of Australia,NA
2018-06-30,investor_type,Interbank,78944.18
2018-06-30,investor_type,Bank balance sheet,24709.461
2018-06-30,investor_type,Other domestic,63902.837
2018-06-30,investor_type,Japan,11667.456
2018-06-30,investor_type,Asia (ex Japan),40591.37
2018-06-30,investor_type,UK,44009.902
2018-06-30,investor_type,Europe,33782.106
2018-06-30,investor_type,Americas,35311.178
2018-06-30,investor_type,Other international,2675.381
2018-06-30,investor_type,Total,335593.871
2018-09-30,investor_type,Reserve Bank of Australia,NA
2018-09-30,investor_type,Interbank,76462.5065
2018-09-30,investor_type,Bank balance sheet,25011.843
2018-09-30,investor_type,Other domestic,67524.864
2018-09-30,investor_type,Japan,12643.801
2018-09-30,investor_type,Asia (ex Japan),34300.664
2018-09-30,investor_type,UK,29325.408
2018-09-30,investor_type,Europe,28325.516
2018-09-30,investor_type,Americas,30384.517
2018-09-30,investor_type,Other international,3432.689
2018-09-30,investor_type,Total,307411.8085
2018-12-31,investor_type,Reserve Bank of Australia,NA
2018-12-31,investor_type,Interbank,70057.8245
2018-12-31,investor_type,Bank balance sheet,17075.614
2018-12-31,investor_type,Other domestic,66863.546
2018-12-31,investor_type,Japan,10319.573
2018-12-31,investor_type,Asia (ex Japan),32256.371
2018-12-31,investor_type,UK,30331.888
2018-12-31,investor_type,Europe,31599.629
2018-12-31,investor_type,Americas,24412.625
2018-12-31,investor_type,Other international,3974.049
2018-12-31,investor_type,Total,286891.1195
2019-03-31,investor_type,Reserve Bank of Australia,NA
2019-03-31,investor_type,Interbank,95467.917
2019-03-31,investor_type,Bank balance sheet,37679.762
2019-03-31,investor_type,Other domestic,80300.386
2019-03-31,investor_type,Japan,9851.243
2019-03-31,investor_type,Asia (ex Japan),52558.953
