Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,40508,2010-05-31,-0.482483581904519
LIABILITY,AUD,Treasury Notes,40508,2010-06-30,-0.401338646528937
LIABILITY,AUD,Treasury Notes,40508,2010-07-31,-0.320151043539152
LIABILITY,AUD,Treasury Notes,40508,2010-08-31,-0.233153756316925
LIABILITY,AUD,Treasury Notes,40508,2010-09-30,-0.152311616560129
LIABILITY,AUD,Treasury Notes,40508,2010-10-31,-0.0737199644422943
LIABILITY,AUD,Treasury Notes,40515,2010-09-30,-0.214014127067823
LIABILITY,AUD,Treasury Notes,40515,2010-10-31,-0.0927665671627178
LIABILITY,AUD,Treasury Notes,40515,2010-11-30,-0.00546808949636216
LIABILITY,AUD,Treasury Notes,40529,2010-06-30,-0.458341886655061
LIABILITY,AUD,Treasury Notes,40529,2010-07-31,-0.377309958267311
LIABILITY,AUD,Treasury Notes,40529,2010-08-31,-0.290147701614636
LIABILITY,AUD,Treasury Notes,40529,2010-09-30,-0.208874515674773
LIABILITY,AUD,Treasury Notes,40529,2010-10-31,-0.130723339151664
LIABILITY,AUD,Treasury Notes,40529,2010-11-30,-0.0437409246537461
LIABILITY,AUD,Treasury Notes,40564,2010-08-31,-0.384980382414389
LIABILITY,AUD,Treasury Notes,40564,2010-09-30,-0.416872752351989
LIABILITY,AUD,Treasury Notes,40564,2010-10-31,-0.225040921616632
LIABILITY,AUD,Treasury Notes,40564,2010-11-30,-0.138801802585541
LIABILITY,AUD,Treasury Notes,40564,2010-12-31,-0.0546561018134763
LIABILITY,AUD,Treasury Notes,40585,2010-09-30,-0.360250930912561
LIABILITY,AUD,Treasury Notes,40585,2010-10-31,-0.281772621438153
LIABILITY,AUD,Treasury Notes,40585,2010-11-30,-0.195421689724138
LIABILITY,AUD,Treasury Notes,40585,2010-12-31,-0.11173598039986
LIABILITY,AUD,Treasury Notes,40585,2011-01-31,-0.0273612018113641
LIABILITY,AUD,Treasury Notes,40599,2010-10-31,-0.319948200109819
LIABILITY,AUD,Treasury Notes,40599,2010-11-30,-0.232996044601948
LIABILITY,AUD,Treasury Notes,40599,2010-12-31,-0.149611690720055
LIABILITY,AUD,Treasury Notes,40599,2011-01-31,-0.0655469417597581
LIABILITY,AUD,Treasury Notes,40613,2011-01-31,-0.103610186270652
LIABILITY,AUD,Treasury Notes,40613,2011-02-28,-0.0273480526051269
LIABILITY,AUD,Treasury Notes,40627,2010-11-30,-0.308982450172339
LIABILITY,AUD,Treasury Notes,40627,2010-12-31,-0.224947558054529
LIABILITY,AUD,Treasury Notes,40627,2011-01-31,-0.141519401959687
LIABILITY,AUD,Treasury Notes,40627,2011-02-28,-0.0655530433211968
LIABILITY,AUD,Treasury Notes,40662,2010-11-30,-0.403813527259322
LIABILITY,AUD,Treasury Notes,40662,2010-12-31,-0.319658747270719
LIABILITY,AUD,Treasury Notes,40662,2011-01-31,-0.235680927717926
LIABILITY,AUD,Treasury Notes,40662,2011-02-28,-0.160416928620185
LIABILITY,AUD,Treasury Notes,40662,2011-03-31,-0.0764370700086121
LIABILITY,AUD,Treasury Notes,40676,2011-02-28,-0.198110326886041
LIABILITY,AUD,Treasury Notes,40676,2011-03-31,-0.114442812004691
LIABILITY,AUD,Treasury Notes,40676,2011-04-30,-0.035538615518728
LIABILITY,AUD,Treasury Notes,40690,2011-01-31,-0.311828561139621
LIABILITY,AUD,Treasury Notes,40690,2011-02-28,-0.235657949723608
LIABILITY,AUD,Treasury Notes,40690,2011-03-31,-0.152307999814575
LIABILITY,AUD,Treasury Notes,40690,2011-04-30,-0.0737166024330001
LIABILITY,AUD,Treasury Notes,40704,2011-03-31,-0.190060110941757
LIABILITY,AUD,Treasury Notes,40704,2011-04-30,-0.111728644687564
LIABILITY,AUD,Treasury Notes,40704,2011-05-31,-0.0246204843280606
LIABILITY,AUD,Treasury Notes,40746,2011-02-28,-0.387361441040939
LIABILITY,AUD,Treasury Notes,40746,2011-03-31,-0.707904229211059
LIABILITY,AUD,Treasury Notes,40746,2011-04-30,-0.224953625105864
LIABILITY,AUD,Treasury Notes,40746,2011-05-31,-0.138796595712664
LIABILITY,AUD,Treasury Notes,40746,2011-06-30,-0.0573763753405455
LIABILITY,AUD,Treasury Notes,40767,2011-04-30,-0.281798006916971
