Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,Total Asia,2010-10-31,14301105000
Reported,Asia,Total Asia,2010-11-30,15851065000
Reported,Asia,Total Asia,2010-12-31,14285105000
Reported,Asia,Total Asia,2011-01-31,15680205000
Reported,Asia,Total Asia,2011-02-28,15495180000
Reported,Asia,Total Asia,2011-03-31,15353055000
Reported,Asia,Total Asia,2011-04-29,15302755000
Reported,Asia,Total Asia,2011-05-31,15891655000
Reported,Asia,Total Asia,2011-06-30,16395705000
Reported,Asia,Total Asia,2011-07-29,22385205000
Reported,Asia,Total Asia,2011-08-31,20496705000
Reported,Asia,Total Asia,2011-09-30,21721805000
Reported,Asia,Total Asia,2011-10-31,24131205000
Reported,Asia,Total Asia,2011-11-30,26405805000
Reported,Asia,Total Asia,2011-12-30,29537705000
Reported,Asia,Total Asia,2012-01-31,30530305000
Reported,Asia,Total Asia,2012-02-29,33445405000
Reported,Asia,Total Asia,2012-03-30,34803855000
Reported,Asia,Total Asia,2012-04-30,32255665000
Reported,Asia,Total Asia,2012-05-31,32250705000
Reported,Asia,Total Asia,2012-06-29,33555705000
Reported,Asia,Total Asia,2012-07-31,31528605000
Reported,Asia,Total Asia,2012-08-31,29841205000
Reported,Asia,Total Asia,2012-09-28,30750105000
Reported,Asia,Total Asia,2012-10-31,30527105000
Reported,Asia,Total Asia,2012-11-30,28369005000
Reported,Asia,Total Asia,2012-12-31,26829805000
Reported,Asia,Total Asia,2013-01-31,26843605000
Reported,Asia,Total Asia,2013-02-28,27334405000
Reported,Asia,Total Asia,2013-03-28,25766081000
Reported,Asia,Total Asia,2013-04-30,25107181000
Reported,Asia,Total Asia,2013-05-31,25403828000
Reported,Asia,Total Asia,2013-06-28,24544328000
Reported,Asia,Total Asia,2013-07-31,24781628000
Reported,Asia,Total Asia,2013-08-30,25129028000
Reported,Asia,Total Asia,2013-09-30,25137528000
Reported,Asia,Total Asia,2013-10-31,26749528000
Reported,Asia,Total Asia,2013-11-29,27532328000
Reported,Asia,Total Asia,2013-12-31,26780852000
Reported,Asia,Total Asia,2014-01-31,25494852000
Reported,Asia,Total Asia,2014-02-28,26289552000
Reported,Asia,Total Asia,2014-03-31,27618252000
Reported,Asia,Total Asia,2014-04-30,26872789000
Reported,Asia,Total Asia,2014-05-30,27206452000
Reported,Asia,Total Asia,2014-06-30,26183352000
Reported,Asia,Total Asia,2014-07-31,27476952000
Reported,Asia,Total Asia,2014-08-29,27723752000
Reported,Asia,Total Asia,2014-09-30,27778952000
Reported,Asia,Total Asia,2014-10-31,27929052000
Reported,Asia,Total Asia,2014-11-28,28678052000
Reported,Asia,Total Asia,2014-12-31,30107452000
Reported,Asia,Total Asia,2015-01-30,29719006000
Reported,Asia,Total Asia,2015-02-27,30826028000
Reported,Asia,Total Asia,2015-03-31,30885849000
Reported,Asia,Total Asia,2015-04-30,28717387000
Reported,Asia,Total Asia,2015-05-29,27409687000
Reported,Asia,Total Asia,2015-06-30,28678787000
Reported,Asia,Total Asia,2015-07-31,29462052000
Reported,Asia,Total Asia,2015-08-31,28771852000
Reported,Asia,Total Asia,2015-09-30,28687652000
Reported,Asia,Total Asia,2015-10-30,28402552000
Reported,Asia,Total Asia,2015-11-30,28484152000
Reported,Asia,Total Asia,2015-12-31,28844852000
Reported,Asia,Total Asia,2016-01-29,29124952000
Reported,Asia,Total Asia,2016-02-29,29122552000
Reported,Asia,Total Asia,2016-03-31,31227852000
Reported,Asia,Total Asia,2016-04-29,29350752000
Reported,Asia,Total Asia,2016-05-31,28795352000
Reported,Asia,Total Asia,2016-06-30,29433052000
Reported,Asia,Total Asia,2016-07-29,28572152000
Reported,Asia,Total Asia,2016-08-31,29456052000
Reported,Asia,Total Asia,2016-09-30,30561642000
Reported,Asia,Total Asia,2016-10-31,31625242000
Reported,Asia,Total Asia,2016-11-30,30065442000
Reported,Asia,Total Asia,2016-12-30,26153342000
Reported,Asia,Total Asia,2017-01-31,26304442000
Reported,Asia,Total Asia,2017-02-28,23749700000
Reported,Asia,Total Asia,2017-03-31,24647650000
Reported,Asia,Total Asia,2017-04-28,23927250000
Reported,Asia,Total Asia,2017-05-31,25637150000
Reported,Asia,Total Asia,2017-06-30,26381400000
Reported,Asia,Total Asia,2017-07-31,26517440000
Reported,Asia,Total Asia,2017-08-31,26833340000
Reported,Asia,Total Asia,2017-09-29,27986440000
Reported,Asia,Total Asia,2017-10-31,27425665000
Reported,Asia,Total Asia,2017-11-30,26977415000
Reported,Asia,Total Asia,2017-12-29,29241915000
Reported,Asia,Total Asia,2018-01-31,30686565000
Reported,Asia,Total Asia,2018-02-28,32174065000
Reported,Asia,Total Asia,2018-03-29,31004005000
Reported,Asia,Total Asia,2018-04-30,31953101000
Reported,Asia,Total Asia,2018-05-31,31366200000
Reported,Asia,Total Asia,2018-06-29,30294500000
Reported,Asia,Total Asia,2018-07-31,31162950000
Reported,Asia,Total Asia,2018-08-31,31969690000
Reported,Asia,Total Asia,2018-09-28,32593295000
Reported,Asia,Total Asia,2018-10-31,32414015000
Reported,Asia,Total Asia,2018-11-30,32605875000
Reported,Asia,Total Asia,2018-12-31,30956485000
Reported,Asia,Total Asia,2019-01-31,33407485000
Reported,Asia,Total Asia,2019-02-28,34320305000
Reported,Asia,Total Asia,2019-03-31,32642140000
Reported,Asia,Total Asia,2019-04-30,32579837000
Reported,Asia,Total Asia,2019-05-31,34336113013.37
Reported,Asia,Total Asia,2019-06-30,34805380000
Reported,Asia,Total Asia,2019-07-31,33631762000
Reported,Asia,Total Asia,2019-08-31,34127790000
Reported,Asia,Total Asia,2019-09-30,32832762000
Reported,Asia,Total Asia,2019-10-31,33316717000
Reported,Asia,Total Asia,2019-11-30,34561906000
Reported,Asia,Total Asia,2019-12-31,36468414000
Reported,Asia,Total Asia,2020-01-31,37852330000
Reported,Asia,Total Asia,2020-02-29,36583409000
Reported,Asia,Total Asia,2020-03-31,33112702000
Reported,Asia,Total Asia,2020-04-30,35695365000
Reported,Asia,Total Asia,2020-05-31,41804693000
Reported,Asia,Total Asia,2020-06-30,43698987000
Reported,Asia,Total Asia,2020-07-31,49992260000
Reported,Asia,Total Asia,2020-08-31,56572316000
Reported,Asia,Total Asia,2020-09-30,48975520000
Reported,Asia,Total Asia,2020-10-31,51030806000
Reported,Asia,Total Asia,2020-11-30,49919471000
Reported,Asia,Total Asia,2020-12-31,49272360000
Reported,Asia,Total Asia,2021-01-31,48620311000
Reported,Asia,Total Asia,2021-02-28,46684459000
Reported,Asia,Total Asia,2021-03-31,45495885000
Reported,Asia,Total Asia,2021-04-30,46624150000
Reported,Asia,Total Asia,2021-05-31,47087204000
Reported,Asia,Total Asia,2021-06-30,44488310000
Reported,Asia,Total Asia,2021-07-31,43812273000
Reported,Asia,Total Asia,2021-08-31,43286361000
Reported,Asia,Total Asia,2021-09-30,42404932000
Reported,Asia,Total Asia,2021-10-31,42195233000
Reported,Asia,Total Asia,2021-11-30,41277984000
Reported,Asia,Total Asia,2021-12-31,40843933000
Reported,Asia,Total Asia,2022-01-31,40948959000
Reported,Asia,Total Asia,2022-02-28,38255559000
Reported,Asia,Total Asia,2022-03-31,38914067000
Reported,Asia,Total Asia,2022-04-30,39154867000
Reported,Asia,Total Asia,2022-05-31,42738567000
Reported,Asia,Total Asia,2022-06-30,46459667000
Reported,Asia,Total Asia,2022-07-31,45728188000
Reported,Asia,Total Asia,2022-08-31,45910788000
Reported,Asia,Total Asia,2022-09-30,47671444000
Reported,Asia,Total Asia,2022-10-31,49534844000
Reported,Asia,Total Asia,2022-11-30,48358490000
Reported,Asia,Total Asia,2022-12-31,48085145000
Reported,Asia,Total Asia,2023-01-31,48646791000
Reported,Asia,Total Asia,2023-02-28,51415942000
Reported,Asia,Total Asia,2023-03-31,50816242000
Reported,Asia,Total Asia,2023-04-30,47557342000
Reported,Asia,Total Asia,2023-05-31,49177842000
Reported,Asia,Total Asia,2023-06-30,49465242000
Reported,Australia,Australia,2009-12-31,45223169925.63
Reported,Australia,Australia,2010-01-31,46174207925.63
Reported,Australia,Australia,2010-02-28,47456092495.63
Reported,Australia,Australia,2010-03-31,49772073495.63
Reported,Australia,Australia,2010-04-30,48958370495.63
Reported,Australia,Australia,2010-05-31,49102372495.63
Reported,Australia,Australia,2010-06-30,47890881495.63
Reported,Australia,Australia,2010-07-30,49522650495.63
Reported,Australia,Australia,2010-08-31,44584158495.63
Reported,Australia,Australia,2010-09-30,45672993495.63
Reported,Australia,Australia,2010-10-31,38410019846.06
Reported,Australia,Australia,2010-11-30,43032621846.06
Reported,Australia,Australia,2010-12-31,40551899846.06
Reported,Australia,Australia,2011-01-31,39253286846.06
Reported,Australia,Australia,2011-02-28,37927606846.06
Reported,Australia,Australia,2011-03-31,41546889846.06
Reported,Australia,Australia,2011-04-29,40771669846.06
Reported,Australia,Australia,2011-05-31,44818664846.06
Reported,Australia,Australia,2011-06-30,39847489846.06
Reported,Australia,Australia,2011-07-29,37339041846.06
Reported,Australia,Australia,2011-08-31,39674600846.06
Reported,Australia,Australia,2011-09-30,40438078846.06
Reported,Australia,Australia,2011-10-31,40992580846
Reported,Australia,Australia,2011-11-30,40841107846
Reported,Australia,Australia,2011-12-30,36871798846
Reported,Australia,Australia,2012-01-31,33864473846
Reported,Australia,Australia,2012-02-29,34197410846
Reported,Australia,Australia,2012-03-30,37485146846
Reported,Australia,Australia,2012-04-30,34495572846
Reported,Australia,Australia,2012-05-31,38379109446
Reported,Australia,Australia,2012-06-29,38677530446
