Month,42582,42613,42643,date,value
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44165,50531.402499999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44196,51904.186000000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44227,43000.089
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44255,51837.671000000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44286,49408.464999999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44316,52381.968000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44347,46978.798499999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44377,40847.264000000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44408,44602.445500000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44439,35457.669500000004
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44469,43302.953000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44500,45247.093999999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44530,51877.873500000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44561,29749.738499999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44592,23160.358499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44620,25250.500499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44651,33982.398000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44681,40436.199000000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44712,46504.268499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44742,43889.29
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44773,24071.104500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44804,33342.945500000002
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44834,39670.084000000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44865,20023.567999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44895,37816.190499999997
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44926,27188.834999999999
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44957,19091.455999999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,44985,24254.626499999998
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,45016,55064.175000000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,45046,35024.021500000003
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,45077,29378.443500000001
9-12 years,13595.896000000001,14542.915999999999,23424.664499999999,45107,34844.078500000003
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42674,11826.099
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42704,10190.495000000001
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42735,5193.0649999999996
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42766,5444.7685000000001
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42794,9276.3284999999996
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42825,12400.967500000001
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42855,7673.0424999999996
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42886,6161.9380000000001
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42916,8559.9159999999993
12+ years,8778.0810000000001,5861.2965000000004,7960.0150000000003,42947,8038.0285000000003
